tweetID,screename,intweet
1554241749656035328,tbanzato,VEJA
1554236775005970432,tbanzato,choraosonaro
1554235350075072512,tbanzato,folha
1554234832816812032,tbanzato,simonetebetbr
1554233660273860608,tbanzato,Haddad_Fernando
1554233082751832064,tbanzato,choraosonaro
1554226252596137984,tbanzato,rosangelamorosp
1554220151897145344,tbanzato,folha
1554218924668907520,tbanzato,SF_Moro
1554216736576065537,tbanzato,UOLNoticias
1554215762847444992,tbanzato,choraosonaro
1554214738086612992,tbanzato,choraosonaro
1554212507983552512,tbanzato,senadorhumberto
1554175843676565504,tbanzato,oricardobarbudo
1554517068963188736,tbanzato,simonetebetbr
1554530771792064512,tbanzato,revistaforum
1554531441874063360,tbanzato,noseconexoes
1554549518527385600,tbanzato,G___JAK
1554549444913143808,tbanzato,Naldo22424752
1554549790259630080,tbanzato,MerylLeah912
1554549910455717888,tbanzato,PATRlOTAS
1542089864040022016,fernandachiari,choraosonaro
1532542283450503168,loi217263,choraosonaro
1554588306662273025,tbanzato,SF_Moro
1554588096611504129,tbanzato,revistaforum
1554592720907227136,tbanzato,choraosonaro
1554589767756439552,tbanzato,UOLNoticias
1532423553320099840,noseconexoes,
1532390956217028608,AntoniodaMatta,choraosonaro
1554596026601771009,tbanzato,VEJA
